Column,Count_1
tomouPrimeiraDose,44671
tomouSegundaDose,39388
sintomas_Tosse,38283
sintomas_Dor_de_Cabeça,32874
outrosSintomas_N,30487
diagnosticoCOVID,30058
sintomas_Febre,28075
sintomas_Dor_de_Garganta,27009
outrasCondicoes_N,26196
sintomas_Coriza,25757
"outrosSintomas_,",19483
outrosSintomas_DOR,14814
outrosSintomas_ALGIA,14083
outrosSintomas_MIALGI,12794
outrosSintomas_MIALGIA,12778
outrasCondicoes_HA,11449
outrosSintomas_n,11134
outrasCondicoes_HAS,10844
outrasCondicoes_m,10460
outrosSintomas_s,9606
sintomas_Dispneia,8889
outrasCondicoes_n,8728
outrasCondicoes_HI,8526
outrosSintomas_m,7912
outrosSintomas_c,7491
outrasCondicoes_SM,7426
outrosSintomas_CORPO,6869
outrosSintomas_DOR_NO_CORPO,5877
outrosSintomas_algia,5493
outrasCondicoes_ASM,5127
outrosSintomas_DIARREIA,4953
outrosSintomas_.,4933
outrasCondicoes_ASMA,4932
outrasCondicoes_CA,4481
outrasCondicoes_NI,4066
"outrasCondicoes_,",3957
sintomas_Distúrbios_Gustativos,3773
outrasCondicoes_.,3744
condicoes_Diabetes,3734
outrosSintomas_NASAL,3638
outrosSintomas_as,3427
outrosSintomas_dor,3421
sintomas_Distúrbios_Olfativos,3351
"outrosSintomas_ALGIA,",3258
outrosSintomas_NI,3068
outrasCondicoes_IPERTENSÃO,2904
outrasCondicoes_HIPERTENSÃO,2896
"outrosSintomas_MIALGIA,",2804
outrosSintomas_NS,2761
outrosSintomas_mialgia,2588
outrasCondicoes_SEM,2552
outrosSintomas_Mialgia,2552
outrasCondicoes_IPERTENSA,2472
outrasCondicoes_HIPERTENSA,2467
outrosSintomas_Dor,2424
outrosSintomas_VOMITO,2409
outrosSintomas__MIALGIA,2396
outrosSintomas_FRIO,2197
outrosSintomas_corpo,2155
outrosSintomas_ESPIRRO,2121
outrasCondicoes_Sem_Comorbidade,2105
outrosSintomas_CALAFRIO,2096
outrosSintomas_CANSAÇO,1917
outrosSintomas_NC,1862
outrasCondicoes_PA,1782
outrasCondicoes_SS,1763
outrosSintomas_FRAQUEZA,1736
outrasCondicoes_NC,1728
outrosSintomas_ESPIRROS,1710
outrosSintomas_FADIGA,1696
outrosSintomas_NAUSE,1688
outrosSintomas_NAUSEA,1681
outrosSintomas_CONGESTÃO,1668
outrosSintomas_CONGESTÃO_,1647
outrasCondicoes_BRONQUITE,1642
outrosSintomas_CALAFRIOS,1622
outrasCondicoes_AB,1616
outrosSintomas_CONGESTÃO_NASA,1611
outrosSintomas_CONGESTÃO_NASAL,1607
outrosSintomas__DIARREIA,1556
outrasCondicoes_HIPERTENSAO,1525
outrasCondicoes_sem,1523
outrasCondicoes_-,1511
"outrosSintomas_DIARREIA,",1472
outrosSintomas_ASTENIA,1470
outrasCondicoes_SEM_COMORBIDADE,1397
outrosSintomas_dor_no_corpo,1360
outrasCondicoes_INFLUENZA,1355
outrosSintomas_MIALGIA_,1339
outrosSintomas_DORES,1325
outrosSintomas_ABDOMINAL,1310
outrosSintomas_DESCONFORTO,1295
outrosSintomas_DOR_ABD,1263
outrasCondicoes_TAB,1235
outrasCondicoes_comorbidades,1231
outrosSintomas_DOR_ABDOMINAL,1229
outrosSintomas_-,1228
outrasCondicoes_HIPOT,1228
outrasCondicoes_SEM_COMORBIDADES,1223
outrosSintomas_CONGESTAO,1216
outrosSintomas_COSTAS,1180
outrosSintomas_CONGESTAO_NASAL,1156
outrosSintomas_SS,1131
outrasCondicoes_sem_comorbidade,1129
outrosSintomas_NAS_COSTAS,1123
outrasCondicoes_NEGA,1120
"outrosSintomas_DOR_NO_CORPO,",1110
outrosSintomas_DOR_NAS_COSTA,1109
outrasCondicoes_NÃO,1051
outrosSintomas_DOR_NAS_COSTAS,1013
outrasCondicoes_sem_comorbidades,988
outrasCondicoes_Hipertensão,985
outrasCondicoes_TIREOIDISMO,967
outrosSintomas_diarreia,951
outrosSintomas_OLHO,934
outrosSintomas_MAL,928
outrosSintomas_+,923
outrosSintomas_NAUSEAS,913
outrosSintomas_ARTRALGIA,897
outrosSintomas_PEITO,883
outrosSintomas_OLHOS,875
outrosSintomas_VÔMITO,869
outrasCondicoes_RINITE,867
outrosSintomas_MAL_ESTAR,853
outrasCondicoes_ND,849
outrasCondicoes_HIPOTIREOIDISMO,823
outrosSintomas__NAUSEA,822
outrosSintomas_CEFALEIA,815
outrasCondicoes_SINUSITE,806
"outrosSintomas_CALAFRIOS,",785
outrasCondicoes_na,767
outrosSintomas__FADIGA,766
outrasCondicoes_SC,760
outrasCondicoes_Não,754
outrosSintomas_FALTA_DE_,744
outrosSintomas_VOMITOS,724
outrasCondicoes_ss,715
outrosSintomas__FRAQUEZA,711
outrasCondicoes_IPERTENSO,706
outrasCondicoes_HIPERTENSO,701
outrasCondicoes_TABAGISTA,693
outrosSintomas_ni,689
outrosSintomas_NOS_OLHOS,685
"outrosSintomas_Mialgia,",684
outrasCondicoes_PRESSÃO,683
outrosSintomas_DESCONFORTO_RESPIRATORIO,682
outrosSintomas_TONTURA,681
outrasCondicoes_NAO,677
outrosSintomas_DIARREIA_,676
"outrosSintomas_mialgia,",671
outrosSintomas_DOR_NO_PEITO,670
outrasCondicoes_ANSIEDADE,665
outrosSintomas_Diarreia,663
outrosSintomas_CONTATO,663
outrasCondicoes_ha,654
outrosSintomas_DIARRÉI,651
outrosSintomas_DIARRÉIA,649
outrasCondicoes_X,639
outrosSintomas__CALAFRIOS,631
outrosSintomas__Mialgia,629
outrasCondicoes_ALGIA,627
outrosSintomas__CANSAÇO,624
outrasCondicoes_asma,621
outrosSintomas_OUVIDO,611
outrosSintomas_ADINAMIA,607
outrasCondicoes_ELA,598
"outrosSintomas_VOMITO,",595
outrosSintomas_FALTA_DE_AR,588
outrosSintomas_SINTOMAS,586
outrasCondicoes_MIALGIA,586
outrosSintomas__CONGESTÃO_NASAL,584
outrasCondicoes_Hipertensão_,584
outrosSintomas_NÃO,580
outrasCondicoes_não,580
outrasCondicoes_PRÉ-OPERATÓRIO,572
outrasCondicoes_has,569
outrosSintomas_DOR_TORACIC,569
outrosSintomas__ESPIRROS,569
outrosSintomas_PRÉ-OPERATÓRIO,567
outrosSintomas_DOR_TORACICA,566
outrosSintomas_DINOFAGIA,564
outrosSintomas_ODINOFAGIA,559
outrasCondicoes_HIPERTENSÃO_,554
outrasCondicoes_hipertensão,554
outrosSintomas_Dor_no_corpo,545
outrosSintomas_congestão,545
"outrosSintomas_FRAQUEZA,",541
"outrasCondicoes_HAS,",536
outrasCondicoes_+,534
outrasCondicoes_EPILEPSIA,522
outrosSintomas_ND,520
outrosSintomas_SATURAÇÃO,519
outrosSintomas__ASTENIA,517
outrasCondicoes_TABAGISMO,517
outrosSintomas_congestão_nasal,507
outrosSintomas_vomito,504
"outrosSintomas_ESPIRROS,",499
outrosSintomas_espirro,498
outrosSintomas_DOR_NOS_OLHOS,497
outrosSintomas_;,489
outrosSintomas__VÔMITO,489
outrasCondicoes_Asma,487
outrosSintomas_cansaço,481
outrasCondicoes_POSITIVO,480
outrosSintomas_DESCONFORTO_RESPIRATÓRIO,475
outrasCondicoes_NENHUM,475
outrosSintomas_DOR_NO_CORPO_,473
outrasCondicoes_DEPRESSÃO,471
"outrosSintomas_CONGESTÃO_NASAL,",471
outrosSintomas_OBSTRUÇÃO,470
outrosSintomas_calafrio,470
outrosSintomas_Não_informa,467
outrasCondicoes_FIBROMIALGIA,464
outrosSintomas_DORES_MUSCULAR,464
outrosSintomas_raqueza,461
outrasCondicoes_Sem_comorbidade,459
outrosSintomas_DORES_MUSCULARES,457
outrosSintomas_nc,454
outrosSintomas_OBSTRUÇÃO_NASAL,447
outrasCondicoes_AME,445
outrasCondicoes_PRESSAO,444
outrasCondicoes_HIPERTENSÃO_ARTERIAL,442
outrosSintomas_Desconforto_Respiratório,442
outrasCondicoes_Hipertensão_Arterial,441
outrosSintomas_Cefaleia,440
"outrosSintomas_FADIGA,",433
"outrosSintomas_CONGESTAO_NASAL,",430
outrasCondicoes_SEM_RELATO,428
outrosSintomas_TOSSE,428
outrosSintomas_GARGANTA,425
"outrosSintomas_CANSAÇO,",424
outrosSintomas_NÁUSE,422
outrosSintomas_NÁUSEA,418
outrosSintomas_sintomas,418
outrasCondicoes_OUTRO,416
outrasCondicoes_ANEMIA,414
outrasCondicoes_RN,411
outrasCondicoes_RENITE,406
outrosSintomas_CORIZA,404
outrasCondicoes_OUTROS,404
outrosSintomas_espirros,402
outrosSintomas_Vômito,395
outrasCondicoes_Não_informado,390
outrasCondicoes_NENHUMA,389
outrasCondicoes_nc,384
outrosSintomas_Não_informado,377
outrosSintomas_INAPETENCIA,376
outrosSintomas_DOR_MUSCULA,376
outrasCondicoes_UTI,374
outrosSintomas_POSITIVO,373
outrasCondicoes_INFLUENZA_TIPO_A,372
outrasCondicoes_PULMONAR,371
outrosSintomas_OUTRO,370
outrosSintomas_DORES_NO_CORPO,368
outrosSintomas_Congestão,366
outrosSintomas_calafrios,363
outrasCondicoes_HAS_,361
"outrosSintomas_ASTENIA,",360
outrosSintomas_NEGA,359
outrosSintomas_0,358
outrosSintomas__CONGESTAO_NASAL,356
outrosSintomas_OUTROS,355
outrosSintomas__diarreia,354
outrosSintomas_DOR_DE_OUVIDO,353
outrosSintomas_ebre,351
outrosSintomas_LOMBALGIA,349
outrosSintomas_ESCARRO,348
outrasCondicoes_INFLUENZA_TIPO_B_REAGENTE,347
outrosSintomas_Tosse,345
outrasCondicoes_hipertensa,343
outrasCondicoes_INFLUENZA_TIPO_A_REAGENTE,333
outrasCondicoes_não_informado,332
outrasCondicoes_BRONQUITE_,330
outrosSintomas_não_informado,330
outrasCondicoes_ALERGIA,329
outrosSintomas_SEM,324
outrasCondicoes_nd,322
outrosSintomas_GRIPAIS,322
outrosSintomas_fraqueza,322
outrasCondicoes_ASMATICA,322
outrosSintomas_costas,316
